Latitude,Longitude,Magnitude
-11.9655096698,-76.5413434454,43.8361968994
-11.9655327145,-76.5413739500,43.7904129028
-11.9655551965,-76.5414048074,43.8007202148
-11.9655772154,-76.5414361560,44.0084152222
-11.9655986497,-76.5414678288,43.9489288330
-11.9656195920,-76.5414999652,43.9190979004
-11.9656398840,-76.5415323174,44.0105209351
-11.9656597013,-76.5415651638,43.9609375000
-11.9656788896,-76.5415982502,43.9458847046
-11.9656975577,-76.5416317643,44.0061798096
-11.9657156034,-76.5416655214,43.7784194946
-11.9657331244,-76.5416997082,43.9240493774
-11.9657500197,-76.5417341291,43.9862442017
-11.9657663112,-76.5417688232,43.8227691650
-11.9657820119,-76.5418038176,43.7757873535
-11.9657971113,-76.5418390910,44.0757598877
-11.9658115701,-76.5418745457,43.9828720093
-11.9658254699,-76.5419103863,43.9512252808
-11.9658387334,-76.5419464201,44.0682067871
-11.9658513712,-76.5419826707,44.0293121338
-11.9658633994,-76.5420191864,43.8967132568
-11.9658747573,-76.5420557777,43.9619216919
-11.9658855262,-76.5420927050,43.8684387207
-11.9658956431,-76.5421297614,43.9198684692
-11.9659051154,-76.5421669660,43.7843856812
-11.9659139474,-76.5422043322,43.8931655884
-11.9659221414,-76.5422418726,44.0026016235
-11.9659296887,-76.5422795510,43.9329910278
-11.9659365964,-76.5423174080,43.9670333862
-11.9659428500,-76.5423553686,43.8879013062
-11.9659484469,-76.5423934146,43.7427520752
-11.9659533826,-76.5424314990,43.8254776001
-11.9659576664,-76.5424696916,43.7679519653
-11.9659612988,-76.5425080156,43.9500350952
-11.9659642672,-76.5425463337,44.0248641968
-11.9659665804,-76.5425847618,44.0383148193
-11.9659682285,-76.5426231243,43.9385528564
-11.9659692190,-76.5426615542,43.8792800903
-11.9659695493,-76.5427001167,43.8361968994
-11.9659692182,-76.5427384919,43.8505401611
-11.9659682260,-76.5427769465,43.9573516846
-11.9659665713,-76.5428154086,43.7797546387
-11.9659642630,-76.5428537278,44.1411437988
-11.9659612828,-76.5428921704,43.9566650391
-11.9659576617,-76.5429303527,43.8690414429
-11.9659533764,-76.5429685521,43.9718475342
-11.9659484348,-76.5430066733,43.8788909912
-11.9659428347,-76.5430447305,44.1264648438
-11.9659365698,-76.5430827456,43.8720626831
-11.9659296877,-76.5431204549,43.2972564697
-11.9659221221,-76.5431582185,43.5700454712
-11.9659139342,-76.5431957255,43.7062683105
-11.9659051038,-76.5432330811,43.6339645386
-11.9658956191,-76.5432703296,43.7707366943
-11.9658854911,-76.5433074197,43.9221191406
-11.9658747150,-76.5433443636,43.7645339966
-11.9658633549,-76.5433809523,43.9024353027
-11.9658513168,-76.5434174901,43.8912124634
-11.9658387060,-76.5434536560,44.0165023804
-11.9658254453,-76.5434896785,43.9351425171
-11.9658115604,-76.5435254784,43.9252014160
-11.9657970450,-76.5435610677,44.0272903442
-11.9657819451,-76.5435963346,43.9614791870
-11.9657662688,-76.5436312689,43.8666534424
-11.9657499531,-76.5436660096,43.8409729004
-11.9657330472,-76.5437004457,44.0131912231
-11.9657155562,-76.5437345689,43.7353057861
-11.9656974827,-76.5437683736,44.0201034546
-11.9656788601,-76.5438018016,43.9899215698
-11.9656596587,-76.5438349084,43.9219512939
-11.9656398568,-76.5438677268,43.8149185181
-11.9656195057,-76.5439001697,43.8389511108
-11.9655986326,-76.5439321983,43.7579269409
-11.9655771766,-76.5439639049,43.7382507324
-11.9655551801,-76.5439952249,43.9476776123
-11.9655326035,-76.5440262105,43.9953536987
-11.9655096037,-76.5440566512,43.9842910767
